step,ce_loss,ppl,grad,tps,mfu,total_tokens
1030,3.178,24.0,0.2044,7891.0,26.02,4320133120.0
1040,3.267,26.24,0.1958,7891.0,26.02,4362076160.0
1050,3.195,24.4,0.1707,7892.0,26.02,4404019200.0
1060,3.231,25.31,0.2046,7892.0,26.03,4445962240.0
1070,3.258,25.99,0.207,7891.0,26.02,4487905280.0
1080,3.232,25.34,0.2094,7892.0,26.02,4529848320.0
1090,3.2,24.52,0.2595,7892.0,26.03,4571791360.0
1100,3.207,24.71,0.1594,7892.0,26.03,4613734400.0
1110,3.243,25.6,0.1485,7892.0,26.03,4655677440.0
1120,3.137,23.03,0.2021,7892.0,26.03,4697620480.0
1130,3.265,26.18,0.1985,7892.0,26.03,4739563520.0
1140,3.182,24.1,0.2236,7892.0,26.03,4781506560.0
1150,3.22,25.04,0.1599,7893.0,26.03,4823449600.0
1160,3.207,24.71,0.1737,7893.0,26.03,4865392640.0
1170,3.192,24.35,0.1815,7893.0,26.03,4907335680.0
1180,3.198,24.48,0.1828,7893.0,26.03,4949278720.0
1190,3.137,23.04,0.1772,7893.0,26.03,4991221760.0
1200,3.233,25.36,0.2718,7892.0,26.03,5033164800.0
1210,3.118,22.59,0.1703,7892.0,26.03,5075107840.0
1220,3.192,24.33,0.2234,7892.0,26.03,5117050880.0
1230,3.128,22.84,0.192,7892.0,26.03,5158993920.0
1240,3.199,24.52,0.2113,7892.0,26.02,5200936960.0
1250,3.18,24.05,0.2116,7892.0,26.03,5242880000.0
1260,3.164,23.68,0.1704,7892.0,26.03,5284823040.0
1270,3.181,24.06,0.18,7892.0,26.03,5326766080.0
1280,3.11,22.41,0.2038,7892.0,26.03,5368709120.0
1290,3.181,24.07,0.1739,7892.0,26.03,5410652160.0
1300,3.101,22.22,0.2118,7892.0,26.02,5452595200.0
1310,3.169,23.79,0.1655,7892.0,26.03,5494538240.0
1320,3.144,23.21,0.1794,7892.0,26.03,5536481280.0
1330,3.158,23.53,0.1879,7892.0,26.03,5578424320.0
1340,3.157,23.49,0.1735,7892.0,26.03,5620367360.0
1350,3.066,21.45,0.157,7893.0,26.03,5662310400.0
1360,3.156,23.48,0.1618,7892.0,26.03,5704253440.0
1370,3.001,20.11,0.166,7892.0,26.03,5746196480.0
1380,3.182,24.11,0.1701,7893.0,26.03,5788139520.0
1390,3.027,20.63,0.1611,7893.0,26.03,5830082560.0
1400,3.161,23.59,0.155,7893.0,26.03,5872025600.0
1410,3.074,21.62,0.1625,7893.0,26.03,5913968640.0
1420,3.136,23.01,0.1559,7893.0,26.03,5955911680.0
1430,3.132,22.91,0.2252,7893.0,26.03,5997854720.0
1440,3.133,22.95,0.1626,7893.0,26.03,6039797760.0
1450,3.106,22.34,0.2162,7893.0,26.03,6081740800.0
1460,3.046,21.03,0.1495,7893.0,26.03,6123683840.0
1470,3.133,22.94,0.1643,7893.0,26.03,6165626880.0
1480,2.994,19.96,0.1561,7893.0,26.03,6207569920.0
1490,3.136,23.02,0.1737,7893.0,26.03,6249512960.0
1500,3.032,20.73,0.1514,7893.0,26.03,6291456000.0
1510,3.112,22.47,0.1473,7893.0,26.03,6333399040.0
1520,3.098,22.15,0.1747,7893.0,26.03,6375342080.0
1530,3.097,22.14,0.1661,7894.0,26.03,6417285120.0
1540,3.088,21.93,0.2248,7893.0,26.03,6459228160.0
1550,3.033,20.76,0.1557,7893.0,26.03,6501171200.0
1560,3.127,22.81,0.1942,7893.0,26.03,6543114240.0
1570,2.96,19.29,0.1367,7893.0,26.03,6585057280.0
1580,3.117,22.57,0.1701,7893.0,26.03,6627000320.0
1590,2.972,19.52,0.2427,7894.0,26.03,6668943360.0
1600,3.111,22.45,0.1475,7893.0,26.03,6710886400.0
1610,3.045,21.01,0.1588,7893.0,26.03,6752829440.0
1620,3.125,22.76,0.1432,7893.0,26.03,6794772480.0
1630,3.094,22.08,0.1713,7893.0,26.03,6836715520.0
1640,3.093,22.03,0.1377,7893.0,26.03,6878658560.0
1650,3.1,22.2,0.1374,7894.0,26.03,6920601600.0
1660,2.968,19.44,0.132,7893.0,26.03,6962544640.0
1670,3.114,22.51,0.1659,7893.0,26.03,7004487680.0
1680,2.93,18.73,0.1425,7893.0,26.03,7046430720.0
1690,3.111,22.45,0.1477,7893.0,26.03,7088373760.0
1700,3.063,21.4,0.1937,7893.0,26.03,7130316800.0
1710,3.096,22.11,0.1426,7894.0,26.03,7172259840.0
1720,3.054,21.19,0.1446,7893.0,26.03,7214202880.0
1730,3.057,21.26,0.1429,7893.0,26.03,7256145920.0
1740,3.104,22.29,0.1489,7893.0,26.03,7298088960.0
1750,2.912,18.4,0.1422,7893.0,26.03,7340032000.0
1760,3.112,22.47,0.171,7894.0,26.03,7381975040.0
1770,2.966,19.42,0.1677,7893.0,26.03,7423918080.0
1780,3.067,21.47,0.1631,7893.0,26.03,7465861120.0
1790,3.071,21.57,0.1678,7893.0,26.03,7507804160.0
1800,2.971,19.52,0.1511,7893.0,26.03,7549747200.0
1810,3.079,21.74,0.1778,7893.0,26.03,7591690240.0
1820,2.909,18.34,0.1487,7893.0,26.03,7633633280.0
1830,3.051,21.13,0.1331,7893.0,26.03,7675576320.0
1840,3.043,20.96,0.1401,7893.0,26.03,7717519360.0
1850,3.072,21.58,0.1433,7893.0,26.03,7759462400.0
1860,3.099,22.17,0.1545,7893.0,26.03,7801405440.0
1870,3.086,21.89,0.1327,7893.0,26.03,7843348480.0
1880,3.032,20.74,0.144,7893.0,26.03,7885291520.0
1890,3.066,21.45,0.1519,7892.0,26.03,7927234560.0
1900,3.048,21.08,0.1618,7892.0,26.03,7969177600.0
1910,3.048,21.07,0.1389,7893.0,26.03,8011120640.0
1920,3.027,20.64,0.1495,7893.0,26.03,8053063680.0
1930,3.058,21.29,0.1603,7893.0,26.03,8095006720.0
1940,3.079,21.73,0.1585,7893.0,26.03,8136949760.0
1950,3.101,22.21,0.1536,7893.0,26.03,8178892800.0
1960,3.046,21.02,0.1412,7893.0,26.03,8220835840.0
1970,3.052,21.17,0.1348,7893.0,26.03,8262778880.0
1980,3.049,21.1,0.1289,7893.0,26.03,8304721920.0
1990,2.983,19.75,0.1253,7893.0,26.03,8346664960.0
2000,3.057,21.26,0.1837,7893.0,26.03,8388608000.0
2010,2.977,19.63,0.14,7892.0,26.03,8430551040.0
2020,3.07,21.54,0.1421,7892.0,26.03,8472494080.0
2030,3.037,20.84,0.1772,7892.0,26.03,8514437120.0
2040,3.048,21.06,0.1493,7892.0,26.03,8556380160.0
2050,3.058,21.29,0.1464,7893.0,26.03,8598323200.0
2060,3.027,20.63,0.1267,7893.0,26.03,8640266240.0
2070,3.043,20.96,0.1433,7892.0,26.03,8682209280.0
2080,2.97,19.49,0.1395,7892.0,26.03,8724152320.0
2090,3.058,21.29,0.1502,7893.0,26.03,8766095360.0
2100,2.977,19.63,0.1379,7893.0,26.03,8808038400.0
2110,3.051,21.15,0.1463,7893.0,26.03,8849981440.0
2120,3.036,20.82,0.143,7893.0,26.03,8891924480.0
2130,3.027,20.64,0.1319,7892.0,26.03,8933867520.0
2140,3.066,21.46,0.1609,7893.0,26.03,8975810560.0
2150,2.955,19.2,0.1418,7893.0,26.03,9017753600.0
2160,3.054,21.2,0.1405,7893.0,26.03,9059696640.0
2170,2.962,19.34,0.1198,7893.0,26.03,9101639680.0
2180,3.047,21.05,0.1383,7893.0,26.03,9143582720.0
2190,2.972,19.54,0.1402,7893.0,26.03,9185525760.0
2200,3.063,21.4,0.1586,7893.0,26.03,9227468800.0
2210,3.009,20.27,0.1497,7893.0,26.03,9269411840.0
2220,3.042,20.94,0.1365,7893.0,26.03,9311354880.0
2230,3.024,20.58,0.1229,7893.0,26.03,9353297920.0
2240,3.0,20.08,0.1425,7893.0,26.03,9395240960.0
2250,3.065,21.43,0.1546,7893.0,26.03,9437184000.0
2260,2.942,18.96,0.1363,7893.0,26.03,9479127040.0
2270,3.035,20.79,0.1416,7893.0,26.03,9521070080.0
2280,3.001,20.11,0.145,7893.0,26.03,9563013120.0
2290,3.022,20.54,0.1369,7893.0,26.03,9604956160.0
2300,3.013,20.34,0.1326,7893.0,26.03,9646899200.0
2310,2.971,19.52,0.1245,7893.0,26.03,9688842240.0
2320,3.034,20.78,0.1277,7893.0,26.03,9730785280.0
2330,2.861,17.47,0.1257,7893.0,26.03,9772728320.0
2340,3.036,20.81,0.1399,7893.0,26.03,9814671360.0
2350,2.941,18.93,0.1355,7893.0,26.03,9856614400.0
2360,3.027,20.63,0.1434,7893.0,26.03,9898557440.0
2370,2.985,19.8,0.1476,7893.0,26.03,9940500480.0
2380,3.006,20.2,0.1429,7893.0,26.03,9982443520.0
