step,ce_loss,ppl,grad,tps,mfu,total_tokens
1030,3.457,31.74,0.3041,8266.0,27.26,4320133120.0
1040,3.499,33.08,0.2524,8267.0,27.26,4362076160.0
1050,3.407,30.16,0.2615,8267.0,27.26,4404019200.0
1060,3.494,32.91,0.2562,8268.0,27.26,4445962240.0
1070,3.446,31.38,0.3153,8268.0,27.26,4487905280.0
1080,3.476,32.34,0.2557,8269.0,27.27,4529848320.0
1090,3.432,30.93,0.2637,8269.0,27.27,4571791360.0
1100,3.474,32.28,0.2734,8270.0,27.27,4613734400.0
1110,3.462,31.86,0.2599,8270.0,27.27,4655677440.0
1120,3.383,29.45,0.31,8271.0,27.27,4697620480.0
1130,3.49,32.79,0.2857,8271.0,27.27,4739563520.0
1140,3.386,29.55,0.214,8271.0,27.28,4781506560.0
1150,3.442,31.25,0.2652,8272.0,27.28,4823449600.0
1160,3.441,31.21,0.2967,8272.0,27.28,4865392640.0
1170,3.451,31.53,0.237,8273.0,27.28,4907335680.0
1180,3.402,30.03,0.2431,8273.0,27.28,4949278720.0
1190,3.385,29.52,0.239,8273.0,27.28,4991221760.0
1200,3.405,30.12,0.2291,8273.0,27.28,5033164800.0
1210,3.321,27.69,0.2154,8274.0,27.28,5075107840.0
1220,3.426,30.76,0.2273,8274.0,27.28,5117050880.0
1230,3.307,27.29,0.2304,8274.0,27.29,5158993920.0
1240,3.393,29.75,0.2672,8274.0,27.28,5200936960.0
1250,3.36,28.78,0.2428,8275.0,27.29,5242880000.0
1260,3.373,29.16,0.2243,8275.0,27.29,5284823040.0
1270,3.365,28.93,0.2131,8275.0,27.29,5326766080.0
1280,3.351,28.53,0.2134,8275.0,27.29,5368709120.0
1290,3.373,29.18,0.238,8276.0,27.29,5410652160.0
1300,3.273,26.38,0.2557,8276.0,27.29,5452595200.0
1310,3.382,29.43,0.2118,8276.0,27.29,5494538240.0
1320,3.298,27.05,0.234,8276.0,27.29,5536481280.0
1330,3.34,28.23,0.2387,8277.0,27.29,5578424320.0
1340,3.362,28.85,0.2774,8277.0,27.29,5620367360.0
1350,3.329,27.91,0.1808,8277.0,27.29,5662310400.0
1360,3.378,29.31,0.2265,8001.0,26.38,5704253440.0
1370,3.226,25.17,0.2088,10947.0,36.1,5746196480.0
1380,3.345,28.37,0.2217,11315.0,37.31,5788139520.0
1390,3.301,27.13,0.2374,11468.0,37.82,5830082560.0
1400,3.316,27.55,0.1881,11538.0,38.05,5872025600.0
1410,3.312,27.43,0.2312,11587.0,38.21,5913968640.0
1420,3.319,27.64,0.2109,11598.0,38.24,5955911680.0
1430,3.308,27.32,0.2435,11624.0,38.33,5997854720.0
1440,3.214,24.88,0.1952,11649.0,38.41,6039797760.0
1450,3.316,27.54,0.196,11663.0,38.46,6081740800.0
1460,3.177,23.98,0.2157,11675.0,38.5,6123683840.0
1470,3.333,28.02,0.1906,11686.0,38.53,6165626880.0
1480,3.184,24.13,0.1959,11688.0,38.54,6207569920.0
1490,3.318,27.59,0.2196,11697.0,38.57,6249512960.0
1500,3.265,26.17,0.2054,11705.0,38.6,6291456000.0
1510,3.293,26.91,0.1804,11712.0,38.62,6333399040.0
1520,3.285,26.7,0.2308,11718.0,38.64,6375342080.0
1530,3.228,25.24,0.1823,11721.0,38.65,6417285120.0
1540,3.319,27.62,0.1969,11721.0,38.65,6459228160.0
1550,3.158,23.52,0.1945,11725.0,38.66,6501171200.0
1560,3.339,28.19,0.2045,11729.0,38.68,6543114240.0
1570,3.19,24.3,0.2443,11733.0,38.69,6585057280.0
1580,3.308,27.33,0.1931,11738.0,38.7,6627000320.0
1590,3.254,25.9,0.2263,11742.0,38.72,6668943360.0
1600,3.258,26.0,0.164,11741.0,38.72,6710886400.0
1610,3.268,26.26,0.1867,11744.0,38.73,6752829440.0
1620,3.145,23.22,0.1866,11746.0,38.73,6794772480.0
1630,3.3,27.11,0.212,11748.0,38.74,6836715520.0
1640,3.119,22.61,0.1988,11751.0,38.75,6878658560.0
1650,3.273,26.39,0.1996,11752.0,38.75,6920601600.0
1660,3.271,26.34,0.2348,11751.0,38.75,6962544640.0
1670,3.178,24.01,0.2035,11753.0,38.76,7004487680.0
1680,3.303,27.18,0.199,11755.0,38.76,7046430720.0
1690,3.291,26.88,0.1728,11756.0,38.77,7088373760.0
1700,3.249,25.76,0.1818,11758.0,38.77,7130316800.0
1710,3.233,25.35,0.1695,11760.0,38.78,7172259840.0
1720,3.24,25.52,0.1696,14372.0,47.39,7214202880.0
1730,3.245,25.65,0.1664,15207.0,50.15,7256145920.0
1740,3.233,25.35,0.2115,15457.0,50.97,7298088960.0
1750,3.258,25.99,0.1832,15574.0,51.36,7340032000.0
1760,3.292,26.9,0.2177,15649.0,51.6,7381975040.0
1770,3.275,26.44,0.1644,15666.0,51.66,7423918080.0
1780,3.25,25.8,0.1714,15696.0,51.76,7465861120.0
1790,3.235,25.4,0.1729,15704.0,51.78,7507804160.0
1800,3.243,25.61,0.157,15720.0,51.84,7549747200.0
1810,3.21,24.78,0.1786,15743.0,51.91,7591690240.0
1820,3.201,24.55,0.1866,15758.0,51.96,7633633280.0
1830,3.23,25.27,0.1656,15755.0,51.95,7675576320.0
1840,3.22,25.02,0.1694,15767.0,51.99,7717519360.0
1850,3.236,25.43,0.164,15781.0,52.04,7759462400.0
1860,3.163,23.64,0.168,15789.0,52.06,7801405440.0
1870,3.232,25.32,0.178,15800.0,52.1,7843348480.0
1880,3.143,23.18,0.1688,15808.0,52.12,7885291520.0
1890,3.247,25.72,0.1848,15807.0,52.12,7927234560.0
1900,3.2,24.54,0.1942,15814.0,52.15,7969177600.0
1910,3.233,25.37,0.1686,15820.0,52.17,8011120640.0
1920,3.195,24.41,0.1843,15827.0,52.19,8053063680.0
1930,3.199,24.52,0.1584,15830.0,52.2,8095006720.0
1940,3.219,25.01,0.1702,15834.0,52.21,8136949760.0
1950,3.154,23.43,0.1583,15829.0,52.2,8178892800.0
1960,3.258,26.0,0.188,15833.0,52.21,8220835840.0
1970,3.151,23.35,0.183,15836.0,52.22,8262778880.0
1980,3.222,25.07,0.171,15840.0,52.23,8304721920.0
1990,3.234,25.39,0.1788,15841.0,52.24,8346664960.0
2000,3.192,24.33,0.179,15840.0,52.23,8388608000.0
2010,3.235,25.41,0.1717,15839.0,52.23,8430551040.0
