step,optim/step_skipped,optim/total_grad_norm,system/gpu_active_mem_gib,system/gpu_reserved_mem_gib,throughput/device_mfu,throughput/device_mfu_actual_avg,throughput/device_tps,throughput/device_tps_actual_avg,throughput/total_tokens,train/ce_loss,train/ppl,train/z_loss
290,0.0,0.5226,12.13,16.25,20.87,20.78,6329.0,6302.0,1216348160.0,4.003,54.74,0.0016
300,0.0,0.4215,12.15,16.25,25.96,23.78,7873.0,7210.0,1258291200.0,3.949,51.87,0.0016
310,0.0,0.3458,12.14,16.25,26.15,25.38,7929.0,7697.0,1300234240.0,3.96,52.47,0.0016
320,0.0,0.291,12.16,16.25,26.17,25.68,7936.0,7786.0,1342177280.0,3.793,44.4,0.0016
330,0.0,0.4431,12.14,16.25,26.04,25.79,7895.0,7820.0,1384120320.0,3.898,49.28,0.0016
340,0.0,0.2643,12.13,16.25,26.08,25.84,7909.0,7837.0,1426063360.0,3.774,43.56,0.0016
350,0.0,0.2859,12.16,16.25,26.1,25.88,7915.0,7849.0,1468006400.0,3.827,45.93,0.0017
360,0.0,0.3053,12.15,16.25,25.99,25.87,7882.0,7844.0,1509949440.0,3.775,43.58,0.0016
370,0.0,0.2931,12.14,16.25,25.99,25.89,7882.0,7852.0,1551892480.0,3.774,43.56,0.0017
380,0.0,0.3094,12.16,16.25,26.06,25.91,7902.0,7858.0,1593835520.0,3.76,42.93,0.0017
390,0.0,0.3449,12.15,16.25,26.08,25.93,7909.0,7862.0,1635778560.0,3.662,38.94,0.0017
400,0.0,0.2567,12.16,16.25,26.09,25.94,7911.0,7867.0,1677721600.0,3.721,41.31,0.0017
410,0.0,0.3837,12.15,16.25,26.01,25.95,7887.0,7870.0,1719664640.0,3.583,35.99,0.0017
420,0.0,0.3372,12.15,16.25,26.08,25.94,7909.0,7867.0,1761607680.0,3.714,41.01,0.0017
430,0.0,0.2608,12.13,16.25,26.06,25.95,7902.0,7870.0,1803550720.0,3.518,33.73,0.0017
440,0.0,0.3375,12.15,16.25,26.25,25.96,7960.0,7873.0,1845493760.0,3.697,40.34,0.0017
450,0.0,0.2762,12.13,16.25,26.05,25.97,7899.0,7874.0,1887436800.0,3.545,34.64,0.0018
460,0.0,0.2766,12.15,16.25,26.24,25.98,7957.0,7877.0,1929379840.0,3.621,37.38,0.0017
470,0.0,0.3068,12.15,16.25,25.99,25.98,7881.0,7878.0,1971322880.0,3.61,36.95,0.0018
480,0.0,0.2277,12.13,16.25,25.98,25.97,7877.0,7876.0,2013265920.0,3.592,36.3,0.0018
490,0.0,0.2722,12.12,16.25,26.06,25.98,7904.0,7878.0,2055208960.0,3.587,36.12,0.0018
500,0.0,0.2351,12.13,16.25,26.1,25.98,7916.0,7879.0,2097152000.0,3.434,31.01,0.0018
510,0.0,0.2523,12.16,16.25,26.01,25.99,7887.0,7880.0,2139095040.0,3.571,35.57,0.0018
520,0.0,0.296,12.12,16.25,26.08,25.99,7907.0,7881.0,2181038080.0,3.425,30.74,0.0018
530,0.0,0.3336,12.14,16.25,26.17,25.99,7935.0,7882.0,2222981120.0,3.57,35.52,0.0018
540,0.0,0.2786,12.14,16.25,26.06,25.99,7901.0,7881.0,2264924160.0,3.449,31.48,0.0018
550,0.0,0.2138,12.13,16.25,26.28,25.99,7970.0,7882.0,2306867200.0,3.506,33.33,0.0018
560,0.0,0.2326,12.15,16.25,26.22,26.0,7952.0,7883.0,2348810240.0,3.471,32.18,0.0018
570,0.0,0.2655,12.14,16.25,26.12,26.0,7922.0,7884.0,2390753280.0,3.486,32.66,0.0018
580,0.0,0.2139,12.13,16.25,26.21,26.0,7949.0,7884.0,2432696320.0,3.472,32.21,0.0018
590,0.0,0.3287,12.15,16.25,24.93,26.0,7561.0,7884.0,2474639360.0,3.419,30.54,0.0018
600,0.0,0.3426,12.15,16.25,26.06,25.99,7904.0,7881.0,2516582400.0,3.504,33.24,0.0018
610,0.0,0.268,12.15,16.25,26.16,25.99,7934.0,7882.0,2558525440.0,3.321,27.69,0.0018
620,0.0,0.2358,12.15,16.25,26.11,25.99,7917.0,7882.0,2600468480.0,3.497,33.01,0.0018
630,0.0,0.2558,12.14,16.25,26.11,26.0,7916.0,7883.0,2642411520.0,3.303,27.2,0.0019
640,0.0,0.2294,12.15,16.25,26.04,26.0,7895.0,7883.0,2684354560.0,3.439,31.16,0.0019
650,0.0,0.2723,12.13,16.25,25.04,25.99,7594.0,7882.0,2726297600.0,3.388,29.61,0.0019
660,0.0,0.211,12.16,16.25,26.09,25.99,7911.0,7883.0,2768240640.0,3.442,31.24,0.0019
670,0.0,0.2635,12.17,16.25,25.89,26.0,7850.0,7883.0,2810183680.0,3.414,30.39,0.0019
680,0.0,0.2314,12.15,16.25,26.09,26.0,7910.0,7884.0,2852126720.0,3.379,29.34,0.0019
690,0.0,0.258,12.15,16.25,26.07,26.0,7905.0,7884.0,2894069760.0,3.414,30.38,0.0019
700,0.0,0.1891,12.14,16.25,25.99,26.0,7880.0,7885.0,2936012800.0,3.256,25.95,0.0019
710,0.0,0.1905,12.16,16.25,26.08,26.0,7909.0,7884.0,2977955840.0,3.445,31.34,0.0019
720,0.0,0.2566,12.14,16.25,26.14,26.0,7927.0,7885.0,3019898880.0,3.255,25.92,0.0019
730,0.0,0.2096,12.16,16.25,26.1,26.0,7915.0,7885.0,3061841920.0,3.414,30.39,0.0019
740,0.0,0.2646,12.14,16.25,26.09,26.0,7912.0,7886.0,3103784960.0,3.345,28.37,0.0019
750,0.0,0.1844,12.13,16.25,26.13,26.01,7924.0,7886.0,3145728000.0,3.351,28.54,0.0019
760,0.0,0.2306,12.13,16.25,26.1,26.01,7916.0,7886.0,3187671040.0,3.364,28.9,0.0019
770,0.0,0.2123,12.15,16.25,26.04,26.0,7897.0,7885.0,3229614080.0,3.297,27.03,0.0019
780,0.0,0.2347,12.16,16.25,26.12,26.01,7921.0,7886.0,3271557120.0,3.393,29.75,0.0019
790,0.0,0.2047,12.13,16.25,26.24,26.01,7957.0,7887.0,3313500160.0,3.193,24.37,0.0019
800,0.0,0.2701,12.15,16.25,26.26,26.01,7962.0,7887.0,3355443200.0,3.371,29.11,0.0019
810,0.0,0.2024,12.15,16.25,26.17,26.01,7936.0,7888.0,3397386240.0,3.336,28.11,0.0019
820,0.0,0.1962,12.15,16.25,26.06,26.01,7903.0,7888.0,3439329280.0,3.306,27.28,0.0019
830,0.0,0.2321,12.14,16.25,26.12,26.01,7922.0,7887.0,3481272320.0,3.339,28.19,0.0019
840,0.0,0.1945,12.17,16.25,26.21,26.01,7947.0,7888.0,3523215360.0,3.308,27.33,0.0019
850,0.0,0.2379,12.18,16.25,26.07,26.01,7907.0,7888.0,3565158400.0,3.317,27.58,0.0019
860,0.0,0.196,12.15,16.25,26.02,26.02,7890.0,7889.0,3607101440.0,3.32,27.65,0.0019
870,0.0,0.2326,12.15,16.25,26.24,26.02,7956.0,7889.0,3649044480.0,3.35,28.49,0.0019
880,0.0,0.2377,12.15,16.25,26.14,26.02,7927.0,7890.0,3690987520.0,3.316,27.56,0.0019
890,0.0,0.2322,12.14,16.25,26.04,26.02,7896.0,7889.0,3732930560.0,3.264,26.15,0.002
900,0.0,0.2244,12.16,16.25,26.12,26.02,7921.0,7889.0,3774873600.0,3.279,26.55,0.0019
910,0.0,0.1999,12.14,16.25,26.07,26.02,7904.0,7890.0,3816816640.0,3.264,26.15,0.0019
920,0.0,0.2298,12.16,16.25,26.13,26.02,7923.0,7890.0,3858759680.0,3.278,26.52,0.002
930,0.0,0.2003,12.16,16.25,26.1,26.02,7915.0,7890.0,3900702720.0,3.274,26.42,0.002
940,0.0,0.2079,12.15,16.25,26.09,26.02,7910.0,7891.0,3942645760.0,3.296,27.01,0.002
950,0.0,0.2377,12.15,16.25,26.27,26.02,7966.0,7890.0,3984588800.0,3.309,27.37,0.002
960,0.0,0.1935,12.16,16.25,26.16,26.02,7932.0,7890.0,4026531840.0,3.314,27.5,0.0019
970,0.0,0.2142,12.15,16.25,26.11,26.02,7917.0,7891.0,4068474880.0,3.302,27.18,0.0019
980,0.0,0.1653,12.16,16.25,26.08,26.02,7909.0,7891.0,4110417920.0,3.272,26.36,0.002
990,0.0,0.2551,12.13,16.25,26.06,26.02,7903.0,7891.0,4152360960.0,3.282,26.62,0.002
1000,0.0,0.1676,12.16,16.25,24.43,26.02,7408.0,7891.0,4194304000.0,3.25,25.79,0.002
1010,0.0,0.2202,12.15,16.25,26.21,26.02,7947.0,7890.0,4236247040.0,3.233,25.35,0.002
1020,0.0,0.183,12.14,16.25,26.1,26.02,7916.0,7891.0,4278190080.0,3.245,25.67,0.002
1030,0.0,0.2044,12.13,16.25,26.12,26.02,7921.0,7891.0,4320133120.0,3.178,24.0,0.002
1040,0.0,0.1958,12.15,16.25,26.11,26.02,7918.0,7891.0,4362076160.0,3.267,26.24,0.002
1050,0.0,0.1707,12.14,16.25,26.16,26.02,7934.0,7892.0,4404019200.0,3.195,24.4,0.002
1060,0.0,0.2046,12.15,16.25,26.15,26.03,7928.0,7892.0,4445962240.0,3.231,25.31,0.002
1070,0.0,0.207,12.12,16.25,26.14,26.02,7926.0,7891.0,4487905280.0,3.258,25.99,0.002
1080,0.0,0.2094,12.14,16.25,26.07,26.02,7904.0,7892.0,4529848320.0,3.232,25.34,0.002
1090,0.0,0.2595,12.15,16.25,26.08,26.03,7910.0,7892.0,4571791360.0,3.2,24.52,0.002
1100,0.0,0.1594,12.16,16.25,26.13,26.03,7923.0,7892.0,4613734400.0,3.207,24.71,0.002
1110,0.0,0.1485,12.15,16.25,26.25,26.03,7960.0,7892.0,4655677440.0,3.243,25.6,0.002
1120,0.0,0.2021,12.13,16.25,26.13,26.03,7923.0,7892.0,4697620480.0,3.137,23.03,0.002
1130,0.0,0.1985,12.15,16.25,26.17,26.03,7935.0,7892.0,4739563520.0,3.265,26.18,0.002
1140,0.0,0.2236,12.13,16.25,26.0,26.03,7883.0,7892.0,4781506560.0,3.182,24.1,0.002
1150,0.0,0.1599,12.14,16.25,26.08,26.03,7909.0,7893.0,4823449600.0,3.22,25.04,0.002
1160,0.0,0.1737,12.14,16.25,26.16,26.03,7933.0,7893.0,4865392640.0,3.207,24.71,0.002
1170,0.0,0.1815,12.13,16.25,26.12,26.03,7921.0,7893.0,4907335680.0,3.192,24.35,0.002
1180,0.0,0.1828,12.14,16.25,25.1,26.03,7610.0,7893.0,4949278720.0,3.198,24.48,0.002
1190,0.0,0.1772,12.15,16.25,25.99,26.03,7881.0,7893.0,4991221760.0,3.137,23.04,0.002
1200,0.0,0.2718,12.15,16.25,26.0,26.03,7885.0,7892.0,5033164800.0,3.233,25.36,0.002
1210,0.0,0.1703,12.12,16.25,26.09,26.03,7910.0,7892.0,5075107840.0,3.118,22.59,0.002
1220,0.0,0.2234,12.15,16.25,26.07,26.03,7906.0,7892.0,5117050880.0,3.192,24.33,0.002
1230,0.0,0.192,12.13,16.25,26.13,26.03,7923.0,7892.0,5158993920.0,3.128,22.84,0.0021
1240,0.0,0.2113,12.16,16.25,25.02,26.02,7587.0,7892.0,5200936960.0,3.199,24.52,0.002
1250,0.0,0.2116,12.14,16.25,26.08,26.03,7908.0,7892.0,5242880000.0,3.18,24.05,0.002
1260,0.0,0.1704,12.15,16.25,26.08,26.03,7909.0,7892.0,5284823040.0,3.164,23.68,0.002
1270,0.0,0.18,12.15,16.25,26.14,26.03,7927.0,7892.0,5326766080.0,3.181,24.06,0.002
1280,0.0,0.2038,12.15,16.25,26.0,26.03,7883.0,7892.0,5368709120.0,3.11,22.41,0.002
1290,0.0,0.1739,12.15,16.25,26.03,26.03,7893.0,7892.0,5410652160.0,3.181,24.07,0.002
1300,0.0,0.2118,12.14,16.25,25.96,26.02,7872.0,7892.0,5452595200.0,3.101,22.22,0.0021
1310,0.0,0.1655,12.15,16.25,26.08,26.03,7910.0,7892.0,5494538240.0,3.169,23.79,0.002
1320,0.0,0.1794,12.14,16.25,25.99,26.03,7881.0,7892.0,5536481280.0,3.144,23.21,0.0021
1330,0.0,0.1879,12.16,16.25,26.11,26.03,7919.0,7892.0,5578424320.0,3.158,23.53,0.002
